# F-Level  File Type(s) Introduced
# -------  -----------------------
  210      CL_TYPE_ALZ CL_TYPE_LHA_LZH
  200      CL_TYPE_ONENOTE CL_TYPE_PYTHON_COMPILED
  190      CL_TYPE_UDF
  130      CL_TYPE_JPEG CL_TYPE_TIFF
  120      CL_TYPE_GIF CL_TYPE_PNG
  110      CL_TYPE_EGG CL_TYPE_EGGSFX
  100      CL_TYPE_LNK
   83      CL_TYPE_EPS CL_TYPE_MHTML CL_TYPE_PS
   82      CL_TYPE_HWP3 CL_TYPE_HWPOLE2 CL_TYPE_OOXML_HWP CL_TYPE_XML_HWP
   81      CL_TYPE_OTHER
   80      CL_TYPE_XML_WORD CL_TYPE_XML_XL
   79      CL_TYPE_XDP
   78      CL_TYPE_INTERNAL
   77      CL_TYPE_APM CL_TYPE_GPT CL_TYPE_MBR
   75      CL_TYPE_OOXML_PPT CL_TYPE_OOXML_WORD CL_TYPE_OOXML_XL CL_TYPE_PART_ANY CL_TYPE_PART_HFSPLUS CL_TYPE_XZ
   73      CL_TYPE_DMG CL_TYPE_JAVA CL_TYPE_XAR
   71      CL_TYPE_ISO9660
   70      CL_TYPE_7ZSFX
   61      CL_TYPE_SWF
   49      CL_TYPE_ANY
   47      CL_TYPE_7Z
   46      CL_TYPE_MACHO_UNIBIN
   45      CL_TYPE_ISHIELD_MSI CL_TYPE_MACHO
   44      CL_TYPE_CPIO_CRC CL_TYPE_CPIO_NEWC CL_TYPE_CPIO_ODC CL_TYPE_CPIO_OLD

 # F-level 0 marks the beginning of Git history
 # These types were introduced prior to 2011
    0      CL_TYPE_ARJ CL_TYPE_ARJSFX CL_TYPE_AUTOIT CL_TYPE_BINARY_DATA CL_TYPE_BINHEX CL_TYPE_BZ CL_TYPE_CABSFX 
    0      CL_TYPE_CRYPTFF CL_TYPE_DATA CL_TYPE_ELF CL_TYPE_ERROR CL_TYPE_GRAPHICS CL_TYPE_GZ CL_TYPE_HTML CL_TYPE_HTML_UTF16
    0      CL_TYPE_IGNORED CL_TYPE_MAIL CL_TYPE_MSCAB CL_TYPE_MSCHM CL_TYPE_MSEXE CL_TYPE_MSOLE2 CL_TYPE_MSSZDD
    0      CL_TYPE_NULSFT CL_TYPE_OLD_TAR CL_TYPE_PDF CL_TYPE_PE_DISASM CL_TYPE_POSIX_TAR CL_TYPE_PST CL_TYPE_RAR
    0      CL_TYPE_RARSFX CL_TYPE_RIFF CL_TYPE_RTF CL_TYPE_SCRENC CL_TYPE_SCRIPT CL_TYPE_SFX CL_TYPE_SIS CL_TYPE_TEXT_ASCII 
    0      CL_TYPE_TEXT_UTF16BE CL_TYPE_TEXT_UTF16LE CL_TYPE_TEXT_UTF8 CL_TYPE_TNEF CL_TYPE_UNKNOWN_DATA CL_TYPE_UNKNOWN_TEXT
    0      CL_TYPE_UUENCODED CL_TYPE_ZIP CL_TYPE_ZIPSFX
